id,priority,creationDate,expirationDate,targetPort,sequence,content
5ed07748-730d-422d-9040-997ee8f635e1,0,2026-05-05T18:07:37.381363700Z,2026-05-06T18:07:37.381363700Z,bf1f1194-e273-4b23-9b27-dcc269defa1d,1,Início de viagem
46de6a65-ee34-4ac2-86d0-c04da6a0a630,1,2026-05-05T18:08:37.381363700Z,2026-05-06T18:08:37.381363700Z,e587ccd1-f915-40c7-a7f7-06e6c72be02b,2,Fim de viagem
807d8b30-07af-46c8-a169-ad94d58597a6,2,2026-05-05T18:09:37.381363700Z,2026-05-06T18:09:37.381363700Z,611ca684-803d-48a0-9177-d0e40f1ce043,3,Cliente recusou produto
a357e5d8-f745-4688-a633-95c4e3ea3591,3,2026-05-05T18:10:37.381363700Z,2026-05-06T18:10:37.381363700Z,8dd0d22b-5365-4a54-adbf-615ae47f6a2c,4,Veículo apresentou falha mecânica
ccd8245c-6403-4c39-8bf2-7c030d4ef4c3,4,2026-05-05T18:11:37.381363700Z,2026-05-06T18:11:37.381363700Z,1d7dd3c4-8048-41a7-a8c2-b5c1e249dc54,5,Entrega realizada com sucesso
83e756bf-872e-434e-8b45-ce8f1ca7b7df,0,2026-05-05T18:12:37.381363700Z,2026-05-06T18:12:37.381363700Z,a08c0bb1-af50-49e6-a127-6fe72b4ca962,6,Atraso na entrega
d2034322-c4c7-4ebd-a82e-fe07f99c6a43,1,2026-05-05T18:13:37.381363700Z,2026-05-06T18:13:37.381363700Z,3539d467-dc57-47b7-930d-c4da32530c43,7,Rota alterada
69ea453f-4655-41c4-b5e2-241ede44e6c0,2,2026-05-05T18:14:37.381363700Z,2026-05-06T18:14:37.381363700Z,7739fc8f-b8db-427c-a2bf-32322896b703,8,Parada não programada
d205e3cf-b572-41c1-878d-1c5982432475,3,2026-05-05T18:15:37.381363700Z,2026-05-06T18:15:37.381363700Z,bbc2e4ea-8c68-41df-9881-7c0cf7f1aa66,9,Documento fiscal emitido
79240643-f711-4bdf-884a-dc1a2c404af7,4,2026-05-05T18:16:37.381363700Z,2026-05-06T18:16:37.381363700Z,3011025e-603c-45ab-9146-cdf5c39257dc,10,Carga danificada
0f3a6f33-04bf-4cd5-908d-888ecec62897,0,2026-05-05T18:17:37.381363700Z,2026-05-06T18:17:37.381363700Z,282004c7-97d4-429c-8318-20e209b01593,11,Início de viagem
5b05353a-9809-4787-8655-e998c9b06a10,1,2026-05-05T18:18:37.381363700Z,2026-05-06T18:18:37.381363700Z,7a09ceba-30de-4219-833a-25668cf7d21d,12,Fim de viagem
ef668f63-7546-44d8-8577-0d8f8ddb9244,2,2026-05-05T18:19:37.381363700Z,2026-05-06T18:19:37.381363700Z,95129718-52dd-47e2-8546-1bdf92c72b1e,13,Cliente recusou produto
ea572aff-1581-4d6e-8210-137e4679a935,3,2026-05-05T18:20:37.381363700Z,2026-05-06T18:20:37.381363700Z,a9ecf3eb-f4e6-4f68-af09-7adced2878d7,14,Veículo apresentou falha mecânica
e3ef9c49-c6ae-4771-a2f7-2b30c682073b,4,2026-05-05T18:21:37.381363700Z,2026-05-06T18:21:37.381363700Z,224ddde9-a1ae-4fd1-92ca-37a95214da6c,15,Entrega realizada com sucesso
794d5acb-e5d5-4e93-981e-d035107aec3a,0,2026-05-05T18:22:37.381363700Z,2026-05-06T18:22:37.381363700Z,5e5f6a37-0ac7-4c05-afae-5d10a8a4cac0,16,Atraso na entrega
22af4ada-4c82-4c6c-b409-65b1f19f9699,1,2026-05-05T18:23:37.381363700Z,2026-05-06T18:23:37.381363700Z,d778db23-07d9-4cf7-9346-8dbd3df982cf,17,Rota alterada
9ee3dfd3-b446-4501-9f46-0339937d0514,2,2026-05-05T18:24:37.381363700Z,2026-05-06T18:24:37.381363700Z,f0e1b16f-9a55-42d0-a561-de74f8d1fd10,18,Parada não programada
91eb74c9-e42b-479f-86cc-3b8388ea1225,3,2026-05-05T18:25:37.381363700Z,2026-05-06T18:25:37.381363700Z,d6d221a7-9595-448f-bc64-a4ed438af449,19,Documento fiscal emitido
e21c27db-4bc7-4d97-a0c6-b47e38c62f8d,4,2026-05-05T18:26:37.381363700Z,2026-05-06T18:26:37.381363700Z,d6123c5f-7d5e-4fa1-a8fd-7c4e29bb73c5,20,Carga danificada
3f8eccf3-9256-479e-b8d8-28bff6d1b8b0,0,2026-05-05T18:27:37.381363700Z,2026-05-06T18:27:37.381363700Z,bd47d096-be2e-4033-9d08-6f69c0d6c33d,21,Início de viagem
a27c2400-a305-4e89-a097-cacd2497030d,1,2026-05-05T18:28:37.381363700Z,2026-05-06T18:28:37.381363700Z,b35e6df2-ccd4-49b3-b770-ba5c79d91e56,22,Fim de viagem
ebf4416b-55a4-4c24-a5d5-44faac9a584e,2,2026-05-05T18:29:37.381363700Z,2026-05-06T18:29:37.381363700Z,db80cedb-62e6-420f-b57c-e5ba51f3fc79,23,Cliente recusou produto
c5b97e87-60e4-4f4d-8f73-9ea2a7bf1732,3,2026-05-05T18:30:37.381363700Z,2026-05-06T18:30:37.381363700Z,60dab0d5-6a53-45f0-a198-f27609781d95,24,Veículo apresentou falha mecânica
ddd40adb-71cf-4819-bb6a-fc83f3be846e,4,2026-05-05T18:31:37.381363700Z,2026-05-06T18:31:37.381363700Z,3f635835-b6e9-46f0-bbf0-620d3c697ef5,25,Entrega realizada com sucesso
d9772212-5b53-4a22-b51b-1bf3b7dece9b,0,2026-05-05T18:32:37.381363700Z,2026-05-06T18:32:37.381363700Z,27152e39-e424-4e4d-b7a0-7aa09b187ac2,26,Atraso na entrega
c1567995-441a-44ac-addf-3e6e0feef28a,1,2026-05-05T18:33:37.381363700Z,2026-05-06T18:33:37.381363700Z,adfcb546-da7a-48aa-9a3d-2fb6b628eeed,27,Rota alterada
15dfebe1-7d3f-4019-8fb0-ce198e8e0b09,2,2026-05-05T18:34:37.381363700Z,2026-05-06T18:34:37.381363700Z,14f3c498-ecbb-4059-af0a-cbee373fd069,28,Parada não programada
0e223939-e26b-4f86-8f86-5bd7ea5a8f61,3,2026-05-05T18:35:37.381363700Z,2026-05-06T18:35:37.381363700Z,427da663-78d7-49a5-838a-e1617c1dddb1,29,Documento fiscal emitido
560bfec7-f665-472d-871c-5a3ea62e8593,4,2026-05-05T18:36:37.381363700Z,2026-05-06T18:36:37.381363700Z,b0bc39de-a653-40b4-81b3-eea833c179c3,30,Carga danificada
262ef743-1355-4456-84f4-3efa06e42f5b,0,2026-05-05T18:37:37.381363700Z,2026-05-06T18:37:37.381363700Z,7396e256-27c8-4c86-9e45-1ac0879863f2,31,Início de viagem
a374f0d2-eeec-4c9a-b50e-fc941743be79,1,2026-05-05T18:38:37.381363700Z,2026-05-06T18:38:37.381363700Z,fcf406d6-34ae-4363-a814-b57e1564c658,32,Fim de viagem
